Test Time / s,Voltage / V,Current / A,Unix Time / s,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Protocol Name / 1,Step Type / 1,Maximum Cell Temperature / degC,External Temperature / degC,data_point,step_time
268480.00000000006,3.37750434690346,-0.0605515800906498,268480.0,2,2,8.666444900474251e-05,0.0,A with temperature: 15,charge,15.3625388401579,15,661,5152.499999999942
268539.9999999999,3.37822672176847,-0.0605515800906498,268540.0,2,2,8.767364200625331e-05,0.0,A with temperature: 15,charge,15.3616389967158,15,662,5212.499999999767
268599.99999999994,3.37901530014034,-0.0605515800906498,268600.0,2,2,8.86828350077641e-05,0.0,A with temperature: 15,charge,15.360679402725,15,663,5272.499999999825
268660.00000000006,3.38418647243783,-0.0605515800906498,268660.0,2,2,8.96920280092749e-05,0.0,A with temperature: 15,charge,15.3645841737062,15,664,5332.499999999942
268719.9999999998,3.38852426598333,-0.0605515800906498,268720.0,2,2,9.07012210107858e-05,0.0,A with temperature: 15,charge,15.3716220590886,15,665,5392.499999999709
268779.99999999994,3.39227069084908,-0.0605515800906498,268780.0,2,2,9.17104140122966e-05,0.0,A with temperature: 15,charge,15.3801009728917,15,666,5452.499999999825
268840.0000000001,3.39554551663979,-0.0605515800906498,268840.0,2,2,9.27196070138074e-05,0.0,A with temperature: 15,charge,15.3889846702897,15,667,5512.5
268899.9999999998,3.39842797404231,-0.0605515800906498,268900.0,2,2,9.372880001531821e-05,0.0,A with temperature: 15,charge,15.3976465822373,15,668,5572.499999999709
268959.99999999994,3.40097865088171,-0.0605515800906498,268960.0,2,2,9.47379930168291e-05,0.0,A with temperature: 15,charge,15.4056864259906,15,669,5632.499999999825
269020.0000000001,3.40330556718024,-0.0605515800906498,269020.0,2,2,9.57471860183399e-05,0.0,A with temperature: 15,charge,15.4124922837063,15,670,5692.5
269079.9999999998,3.40538301956568,-0.0605515800906498,269080.0,2,2,9.67563790198507e-05,0.0,A with temperature: 15,charge,15.4181005785936,15,671,5752.499999999709
269140.0,3.40726837897843,-0.0605515800906498,269140.0,2,2,9.776557202136151e-05,0.0,A with temperature: 15,charge,15.4223798471948,15,672,5812.499999999884
269200.00000000006,3.40901292499384,-0.0605515800906498,269200.0,2,2,9.87747650228724e-05,0.0,A with temperature: 15,charge,15.4251099818169,15,673,5872.499999999942
269260.0000000002,3.41063716873042,-0.0605515800906498,269260.0,2,2,9.97839580243832e-05,0.0,A with temperature: 15,charge,15.4261957399725,15,674,5932.500000000058
269319.99999999994,3.41211664449259,-0.0605515800906498,269320.0,2,2,0.000100793151025894,0.0,A with temperature: 15,charge,15.4259228481347,15,675,5992.499999999825
269380.00000000006,3.41346947533059,-0.0605515800906498,269380.0,2,2,0.000101802344027405,0.0,A with temperature: 15,charge,15.4245245797948,15,676,6052.499999999942
269439.9999999999,3.41469917577807,-0.0605515800906498,269440.0,2,2,0.00010281153702891601,0.0,A with temperature: 15,charge,15.4227243515546,15,677,6112.499999999767
269499.99999999994,3.4158319140395,-0.0605515800906498,269500.0,2,2,0.000103820730030426,0.0,A with temperature: 15,charge,15.4205754597814,15,678,6172.499999999825
269560.00000000006,3.41687512771918,-0.0605515800906498,269560.0,2,2,0.000104829923031937,0.0,A with temperature: 15,charge,15.4182584007697,15,679,6232.499999999942
269619.9999999998,3.41783089824853,-0.0605515800906498,269620.0,2,2,0.000105839116033448,0.0,A with temperature: 15,charge,15.416208255266,15,680,6292.499999999709
269679.99999999994,3.41876428107775,-0.0605515800906498,269680.0,2,2,0.000106848309034959,0.0,A with temperature: 15,charge,15.4148450450048,15,681,6352.499999999825
269740.0000000001,3.41969059687411,-0.0605515800906498,269740.0,2,2,0.00010785750203647001,0.0,A with temperature: 15,charge,15.4139551090666,15,682,6412.5
269799.9999999998,3.42056574356497,-0.0605515800906498,269800.0,2,2,0.00010886669503798101,0.0,A with temperature: 15,charge,15.4133832959329,15,683,6472.499999999709
269859.99999999994,3.42148416093953,-0.0605515800906498,269860.0,2,2,0.000109875888039491,0.0,A with temperature: 15,charge,15.4130167087692,15,684,6532.499999999825
269920.0000000001,3.4224482914252,-0.0605515800906498,269920.0,2,2,0.000110885081041002,0.0,A with temperature: 15,charge,15.4127706765277,15,685,6592.5
269979.9999999998,3.42341871286994,-0.0605515800906498,269980.0,2,2,0.000111894274042513,0.0,A with temperature: 15,charge,15.4125877716377,15,686,6652.499999999709
270040.0,3.42436086936651,-0.0605515800906498,270040.0,2,2,0.000112903467044024,0.0,A with temperature: 15,charge,15.4124340895795,15,687,6712.499999999884
270100.00000000006,3.42527850045539,-0.0605515800906498,270100.0,2,2,0.00011391266004553501,0.0,A with temperature: 15,charge,15.4122870827771,15,688,6772.499999999942
270160.0000000002,3.42616849094282,-0.0605515800906498,270160.0,2,2,0.000114921853047046,0.0,A with temperature: 15,charge,15.4127471668131,15,689,6832.500000000058
270219.99999999994,3.42703676655826,-0.0605515800906498,270220.0,2,2,0.000115931046048556,0.0,A with temperature: 15,charge,15.4137884508976,15,690,6892.499999999825
270280.00000000006,3.42788736529977,-0.0605515800906498,270280.0,2,2,0.000116940239050067,0.0,A with temperature: 15,charge,15.415262456833,15,691,6952.499999999942
270339.9999999999,3.42872285335478,-0.0605515800906498,270340.0,2,2,0.000117949432051578,0.0,A with temperature: 15,charge,15.4170648125535,15,692,7012.499999999767
270399.99999999994,3.42958348143687,-0.0605515800906498,270400.0,2,2,0.00011895862505308901,0.0,A with temperature: 15,charge,15.4191617163344,15,693,7072.499999999825
270460.00000000006,3.43044763019133,-0.0605515800906498,270460.0,2,2,0.0001199678180546,0.0,A with temperature: 15,charge,15.4214807233469,15,694,7132.499999999942
270519.9999999998,3.43131642793491,-0.0605515800906498,270520.0,2,2,0.000120977011056111,0.0,A with temperature: 15,charge,15.4239891393683,15,695,7192.499999999709
270579.99999999994,3.43222429873136,-0.0605515800906498,270580.0,2,2,0.00012198620405762101,0.0,A with temperature: 15,charge,15.4266800725329,15,696,7252.499999999825
270640.0000000001,3.43316793357192,-0.0605515800906498,270640.0,2,2,0.000122995397059132,0.0,A with temperature: 15,charge,15.4295288685344,15,697,7312.5
270699.9999999998,3.43410703546085,-0.0605515800906498,270700.0,2,2,0.000124004590060643,0.0,A with temperature: 15,charge,15.4324996858304,15,698,7372.499999999709
270759.99999999994,3.43504274042948,-0.0605515800906498,270760.0,2,2,0.000125013783062154,0.0,A with temperature: 15,charge,15.4355659168943,15,699,7432.499999999825
270820.0000000001,3.43598337778612,-0.0605515800906498,270820.0,2,2,0.000126022976063665,0.0,A with temperature: 15,charge,15.4385526000307,15,700,7492.5
270879.9999999998,3.43694065447552,-0.0605515800906498,270880.0,2,2,0.00012703216906517602,0.0,A with temperature: 15,charge,15.4408431894731,15,701,7552.499999999709
270940.0,3.43790420122114,-0.0605515800906498,270940.0,2,2,0.000128041362066686,0.0,A with temperature: 15,charge,15.4426230542041,15,702,7612.499999999884
271000.00000000006,3.43887312630455,-0.0605515800906498,271000.0,2,2,0.000129050555068197,0.0,A with temperature: 15,charge,15.4440294164393,15,703,7672.499999999942
271060.0000000002,3.43984727396821,-0.0605515800906498,271060.0,2,2,0.00013005974806970798,0.0,A with temperature: 15,charge,15.4451645403303,15,704,7732.500000000058
271119.99999999994,3.4407457757018,-0.0605515800906498,271120.0,2,2,0.000131068941071219,0.0,A with temperature: 15,charge,15.4460953287694,15,705,7792.499999999825
